model,water_level_rmse,water_level_r2,velocity_magnitude_rmse,velocity_magnitude_r2,transverse_velocity_rmse,transverse_velocity_r2,tke_stat_rmse,tke_stat_r2,mean_r2
Raw lower-fidelity CFD,0.058,0.967,0.063,0.934,0.053,0.912,0.026,0.864,0.919
Linear regression,0.081,0.942,0.092,0.903,0.074,0.876,0.036,0.842,0.891
SVR,0.063,0.957,0.071,0.918,0.059,0.894,0.029,0.851,0.905
GPR / Kriging,0.059,0.964,0.066,0.927,0.055,0.905,0.027,0.867,0.916
Random forest,0.052,0.974,0.061,0.942,0.051,0.917,0.024,0.889,0.931
XGBoost,0.044,0.982,0.052,0.956,0.044,0.936,0.021,0.908,0.946
LightGBM,0.046,0.981,0.054,0.953,0.045,0.932,0.021,0.905,0.943
Standard MLP,0.041,0.985,0.049,0.962,0.04,0.947,0.019,0.919,0.953
Direct multi-fidelity MLP,0.036,0.988,0.043,0.97,0.035,0.958,0.016,0.936,0.963
MF-ResHydroNet,0.028,0.993,0.034,0.981,0.027,0.972,0.012,0.956,0.976
